AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,BORE_OIL_VOL
239.764,104.328,198.185,0
245.023,103.264,200.601,0
249.503,102.554,198.628,0
253.687,101.965,190.273,0
257.354,101.651,182.53,0
260.629,101.452,178.381,0
263.605,101.301,173.767,0
266.36,101.177,170.21,0
269.399,101.122,167.723,0
275.576,101.191,169.15,0
281.125,101.136,170.893,0
285.146,101.067,172.013,0
287.792,101.001,172.785,0
290.309,100.941,173.53,0
292.635,100.882,174.179,0
294.36,100.826,174.594,0
282.771,105.032,233.973,66
272.324,107.662,248.423,52
265.138,107.898,240.191,73
258.254,108.056,230.123,119
251.451,108.149,220.047,207
245.655,108.18,212.44,210
241.08,108.156,207.775,308
239.048,108.07,207.382,293
236.79,108.058,206.324,241
234.79,108.041,205.395,240
233.138,108.023,204.575,237
231.651,108.01,203.594,237
230.407,107.995,202.93,232
229.33,107.983,202.434,298
228.535,107.969,202.372,308
227.423,108.0,201.224,297
225.843,108.018,199.948,305
225.188,108.002,200.214,304
224.603,108.021,199.885,327
222.382,108.081,196.968,338
223.456,107.812,204.625,25
237.501,103.916,195.652,0
241.89,104.422,225.8,1
247.975,102.889,228.34,0
252.878,102.44,228.156,0
257.126,101.927,221.5,0
260.852,101.479,205.874,0
264.262,101.322,195.286,0
267.415,101.21,188.308,0
270.324,101.117,184.876,0
273.018,100.998,268.284,0
275.425,100.797,267.081,0
277.748,100.792,222.885,0
279.679,100.883,193.622,0
281.272,100.859,189.419,0
285.42,100.9,188.487,0
290.391,100.876,189.124,0
294.401,100.838,189.639,0
297.501,100.798,190.036,0
299.722,100.756,190.312,0
289.08,105.43,241.516,50
281.178,107.557,253.264,38
275.321,107.799,248.431,64
270.345,107.895,241.731,82
265.651,107.976,234.772,109
260.901,108.056,228.736,189
255.506,108.126,221.918,244
250.393,108.149,216.011,247
246.173,108.138,211.993,248
241.959,108.15,208.721,265
238.132,108.139,206.27,253
235.061,108.125,204.563,272
231.524,108.13,202.044,276
228.853,108.106,200.457,293
226.555,108.091,198.965,287
224.568,108.074,197.511,299
223.012,108.058,196.629,285
221.813,108.044,196.133,280
220.78,108.042,195.665,282
218.752,108.078,193.411,317
218.438,107.857,192.83,208
228.199,104.819,191.137,0
234.98,103.628,224.16,0
239.915,103.032,237.096,0
244.889,102.628,236.223,0
249.408,102.132,241.948,0
253.41,101.72,246.965,0
256.99,101.509,249.882,0
260.284,101.372,252.512,0
263.327,101.269,255.063,0
266.148,101.17,257.473,0
270.268,101.198,263.77,0
276.869,101.231,263.155,0
282.105,101.178,273.53,0
285.096,101.131,266.816,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
,,,0
0.0,0.0,0.0,0
,,,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
,,,0
1.926,0.352,26.123,18
163.594,60.316,61.473,725
,,,891
,,,886
0.0,0.0,0.0,56
0.0,0.0,0.0,124
273.947,105.551,179.382,190
316.014,102.196,315.165,0
317.551,101.74,316.732,0
277.798,104.933,181.302,590
267.302,106.057,176.099,698
305.861,103.729,192.191,0
310.395,103.166,214.259,0
312.755,102.772,199.986,0
314.272,102.542,200.29,0
315.373,102.367,200.665,0
291.271,103.873,189.051,15
276.029,105.605,182.391,941
270.215,105.75,177.682,969
263.047,106.085,175.26,810
307.029,103.954,306.754,0
271.361,105.141,181.597,329
263.558,105.677,176.139,982
261.93,105.841,175.121,947
259.759,106.001,175.284,474
269.078,105.317,180.092,643
265.403,105.677,178.56,310
261.534,105.949,175.103,299
263.971,105.338,178.473,380
255.996,106.162,174.136,655
266.939,105.214,179.761,363
259.639,105.392,177.88,251
255.061,105.842,174.871,557
258.143,105.451,176.951,415
256.93,105.882,175.193,773
258.149,105.617,176.387,606
250.274,106.039,172.966,590
255.443,105.808,176.105,781
275.197,104.59,182.472,63
254.308,106.001,175.386,364
250.188,106.149,172.618,917
253.549,105.689,175.073,648
250.787,106.225,172.113,973
246.705,106.456,170.549,753
258.601,105.428,178.624,288
247.297,106.313,171.085,654
244.985,106.381,171.947,474
241.353,106.482,170.145,337
257.741,105.277,178.218,141
241.723,106.289,171.805,118
310.831,103.878,310.532,0
252.666,105.599,176.892,954
253.3,105.937,174.677,650
237.121,106.382,167.695,599
241.771,105.724,171.332,941
237.747,106.074,169.246,246
256.412,105.202,178.276,220
238.577,106.115,169.459,498
260.2,105.212,181.123,180
259.275,105.331,182.92,358
236.571,106.32,167.724,926
259.067,104.969,177.175,53
244.141,106.053,171.515,985
235.704,106.397,166.804,833
256.711,105.428,179.567,493
234.444,106.283,170.228,661
230.927,105.737,171.21,964
220.282,106.595,164.792,997
228.85,106.619,178.193,79
302.855,104.393,302.75,0
299.655,104.736,299.541,0
299.655,104.736,299.541,0
299.655,104.736,299.541,0
299.655,104.736,299.541,0
256.248,105.341,183.896,741
255.573,105.595,183.893,583
259.995,105.348,185.429,522
251.546,104.244,179.508,590
261.59,105.444,185.892,517
265.072,105.514,187.945,482
265.787,105.483,188.433,470
265.812,105.45,188.764,488
259.083,105.569,185.517,611
230.429,106.508,177.747,40
248.877,105.553,181.361,680
219.893,106.414,167.78,991
220.055,106.411,168.0,996
219.75,106.418,167.913,994
219.603,106.418,167.852,981
219.381,106.412,167.797,978
219.05,106.411,167.64,989
218.835,106.405,167.569,981
218.549,106.397,167.47,981
218.521,106.023,167.362,944
219.459,106.358,168.11,982
223.271,106.333,169.393,861
263.134,104.936,191.559,300
266.031,105.175,194.317,316
267.079,105.158,194.595,518
276.476,104.734,194.059,272
278.333,104.776,204.432,147
279.243,104.733,203.703,130
281.354,104.806,207.763,207
282.759,104.795,208.112,193
274.92,104.937,203.116,380
282.36,104.903,203.711,421
276.669,104.93,200.384,267
282.352,104.845,203.779,223
285.536,104.713,206.557,202
284.815,104.728,205.798,208
279.1,105.009,200.325,291
289.738,104.704,209.133,192
284.819,104.844,204.183,233
289.482,104.734,208.122,192
279.967,105.003,200.579,300
284.267,104.924,203.485,273
282.144,104.982,201.514,286
281.618,104.958,201.668,296
275.242,105.096,197.963,358
278.893,105.132,198.825,363
280.995,105.016,200.742,318
284.0,104.949,202.205,284
286.254,104.838,204.277,273
286.137,104.833,204.006,276
286.161,104.828,203.913,277
286.015,104.839,203.584,285
286.399,104.825,203.787,291
285.714,104.847,203.12,284
286.952,104.822,203.856,281
285.57,104.893,202.52,331
284.381,104.913,202.035,294
282.234,105.012,200.414,340
275.364,105.183,196.754,571
261.896,105.576,189.176,711
253.325,105.765,184.95,834
247.291,105.86,182.217,817
244.851,105.906,180.973,822
241.74,105.915,179.67,869
236.03,105.995,176.936,926
227.232,105.988,173.517,824
228.594,105.989,174.095,946
219.517,106.207,169.183,987
221.91,106.025,170.884,897
219.05,106.106,169.436,959
214.913,106.189,167.055,964
212.686,106.213,165.878,982
209.83,106.215,164.366,946
210.04,106.203,164.552,946
210.172,106.191,164.647,920
210.04,106.186,164.57,908
209.868,106.185,164.446,937
209.959,106.176,164.502,901
210.075,106.164,164.604,898
210.857,106.165,165.245,625
216.349,105.109,168.305,229
209.939,105.835,167.373,703
209.733,105.99,166.006,793
210.845,106.023,166.798,624
213.806,105.694,169.681,744
209.577,106.022,165.862,866
209.537,106.071,165.336,896
209.824,106.087,165.341,940
208.373,105.207,163.989,962
209.915,106.115,165.159,965
208.475,105.27,163.852,969
210.348,106.126,165.302,977
210.897,106.126,165.618,994
210.286,106.223,164.925,996
287.052,105.234,188.171,334
292.248,105.227,191.26,357
285.373,105.051,190.524,801
221.389,105.925,181.603,671
294.766,104.391,294.753,0
301.085,103.988,300.989,0
290.788,98.93,290.605,0
307.47,103.625,307.246,0
268.23,105.098,199.402,447
231.272,105.719,188.517,956
231.401,104.847,187.201,811
224.888,105.919,186.297,11
295.184,104.093,214.606,0
299.101,103.815,191.552,0
286.139,104.202,193.252,269
240.011,105.54,202.935,811
296.356,104.069,228.83,0
303.74,103.759,227.531,0
306.02,103.579,264.358,0
278.434,105.392,201.147,863
235.555,105.83,197.38,973
233.825,105.765,193.595,767
237.287,105.701,201.388,855
231.58,105.839,198.673,975
230.959,105.818,199.994,885
229.611,105.855,198.211,987
235.565,105.756,202.669,910
227.655,105.858,197.901,999
227.786,105.846,198.094,999
227.779,105.837,198.25,984
227.916,105.827,198.328,974
228.082,105.82,198.478,975
228.266,105.816,198.634,958
234.528,105.733,202.341,815
229.411,105.809,199.207,960
228.356,105.817,198.895,965
228.621,105.806,199.139,943
228.946,105.798,199.425,941
229.303,105.792,199.684,946
229.933,105.783,200.09,934
230.951,105.768,200.651,947
231.269,105.761,200.882,895
231.534,105.755,201.129,869
232.015,105.745,201.475,885
232.132,105.742,201.689,882
232.334,105.737,201.895,872
232.689,105.73,202.198,870
232.905,105.725,202.461,854
232.759,105.725,202.475,826
232.707,105.722,202.662,853
233.114,105.715,203.051,812
232.746,105.722,203.059,828
233.312,105.721,203.506,827
233.817,105.722,203.939,825
234.894,105.721,204.634,842
233.645,105.749,204.182,915
234.3,105.754,204.714,909
235.079,105.755,205.279,920
235.607,105.762,205.71,913
235.99,105.77,206.017,928
236.284,105.774,206.411,914
236.458,105.775,206.641,905
236.592,105.775,206.828,898
236.624,105.774,206.969,885
236.799,105.771,207.187,884
236.904,105.77,207.358,875
237.168,105.766,207.593,865
237.466,105.761,207.883,854
237.652,105.757,208.097,853
237.911,105.753,208.377,842
237.438,105.756,208.248,840
238.818,105.738,209.115,810
